ADDRESS_ID,ADDRESS_TYPE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,ADDRESS_LINE5,ADDRESS_LINE6,ADDRESS_LINE7,ADDRESS_LINE8,ADDRESS_NO,CONTACT_NO,LANGUAGE_ID,COMPANY_NAME0,COMPANY_NAME1,COMPANY_NAME2,COMPANY_NAME3,ADDRESS_SUP,CO_ENDORSEMENT,STREET,PO_BOX,MAIL_ZIP,MAIL_ZIP_SUP,MAIL_CITY,WHITE_MAIL_STOP,TEL,TEL_STOP,WEBSITE,EMAIL_POOL,GENDER_ID,GENDER,TITLE_ID,TITLE,FIRSTNAME,LASTNAME,LASTNAME2,LASTNAME2_TYPE,NAME_ATTRIBUTE,POSITION,SALUTATION,CANTON,ORGANIZATION_TYPE,COMPANY_FOUNDING,COM_REG_ENTRY,UID_NO,MAIN_ACTIVITY_CODE,MAIN_ACTIVITY_CODE_TEXT,NUM_EMPLOYEE_STAT,LEGAL_FORM_TEXT,SALES_STAT,LINE_SUP,Motorrad
634,B,Herr,Dominik Hegi,Fahrschule Hegi,Sandstrasse 106,5412 Gebenstorf,,,,1515706,1515707,1,Herr,Dominik Hegi,Fahrschule Hegi,,,,Sandstrasse 106,,5412,0,Gebenstorf,N,nicht bestellt,Y,www.fahrschule-hegi.ch,nicht bestellt,1,Herr,,,Dominik,Hegi,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Hegi,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1843,B,Herr,Hansjörg Jauner,Fahrschule Jauner,Talackerstrasse 26,5415 Nussbaumen AG,,,,4346320,4346363,1,Herr,Hansjörg Jauner,Fahrschule Jauner,,,,Talackerstrasse 26,,5415,0,Nussbaumen AG,N,nicht bestellt,Y,www.fahrschulejauner.ch,nicht bestellt,1,Herr,,,Hansjörg,Jauner,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Jauner,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
219,B,Heinz Bundi,Fahrschule,Herr Juan Matas,Niederwiesstrasse 12,5417 Untersiggenthal,,,,511427,1839109,1,,Heinz Bundi,Fahrschule,,,,Niederwiesstrasse 12,,5417,0,Untersiggenthal,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Juan,Matas,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Matas,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-107.950.653,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
632,B,Herr,Marc Bodenmann,Autofahrschule,Rosengartenweg 4B,5417 Untersiggenthal,,,,1515688,1515689,1,Herr,Marc Bodenmann,Autofahrschule,,,,Rosengartenweg 4B,,5417,0,Untersiggenthal,N,nicht bestellt,Y,,nicht bestellt,1,Herr,,,Marc,Bodenmann,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Bodenmann,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
381,B,Herr,Willy Frey,Autofahrschule,Kirchweg 46,5420 Ehrendingen,,,,669830,773332,1,Herr,Willy Frey,Autofahrschule,,,,Kirchweg 46,,5420,0,Ehrendingen,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Willy,Frey,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Frey,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
633,B,Frau,Bernadette Eggert,Autofahrschule BÖRNI,Huebweg 9,5426 Lengnau AG,,,,1515690,3510959,1,Frau,Bernadette Eggert,Autofahrschule BÖRNI,,,,Huebweg 9,,5426,0,Lengnau AG,N,nicht bestellt,Y,www.fahrschule-boerni.ch,nicht bestellt,2,Frau,,,Bernadette,Eggert,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Eggert,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1030,B,Fahrschule Tommer GmbH,Frau Annelies Tommer,Weststrasse 2,5426 Lengnau AG,,,,,1868614,1868820,1,,Fahrschule Tommer GmbH,,,,,Weststrasse 2,,5426,0,Lengnau AG,N,nicht bestellt,N,www.lerne-fahren.ch,nicht bestellt,2,Frau,,,Annelies,Tommer,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Tommer,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-114.002.193,855300,Autofahrschulen & Flugschulen,01-Sep,GmbH,nicht bestellt,,nein
1717,B,Herr,Martin Rohner,Fahrschule,Husen 189,5426 Lengnau AG,,,,4106443,4106493,1,Herr,Martin Rohner,Fahrschule,,,,Husen 189,,5426,0,Lengnau AG,N,nicht bestellt,Y,www.guetifahrt.ch,nicht bestellt,1,Herr,,,Martin,Rohner,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Rohner,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
627,B,Herr,Werner Senn,Autofahrschule,Platanenstrasse 3,5430 Wettingen,,,,1515674,1515675,1,Herr,Werner Senn,Autofahrschule,,,,Platanenstrasse 3,,5430,0,Wettingen,N,nicht bestellt,Y,www.fahrschule-senn.ch,nicht bestellt,1,Herr,,,Werner,Senn,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Senn,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1793,B,Herr,Michel Justiniano,Fahrschule Star,Landstrasse 20,5430 Wettingen,,,,4292311,4292541,1,Herr,Michel Justiniano,Fahrschule Star,,,,Landstrasse 20,,5430,0,Wettingen,N,nicht bestellt,N,www.fahrschule-star.ch,nicht bestellt,1,Herr,,,Michel,Justiniano,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Justiniano,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-296.153.290,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
1551,B,Fahrschule Fehlmann,Jurastrasse 7,5430 Wettingen,,,,,,3880295,0,1,,Fahrschule Fehlmann,,,,,Jurastrasse 7,,5430,0,Wettingen,N,nicht bestellt,Y,,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Org. ohne def. RF,nicht bestellt,,nein
1950,B,Fahrschule Drive me GmbH,Herr Jamal Ettanaghmalti,Landstrasse 99,5430 Wettingen,,,,,5465735,5465900,1,,Fahrschule Drive me GmbH,,,,,Landstrasse 99,,5430,0,Wettingen,N,nicht bestellt,Y,www.fahrschule-jamal.ch,nicht bestellt,1,Herr,,,Jamal,Ettanaghmalti,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Ettanaghmalti,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-193.344.605,855300A,Autofahrschulen,01-Sep,GmbH,nicht bestellt,,ja
1182,B,Herr,Felix Vogt,Fahrschule,Kohlgrubenweg 3,5436 Würenlos,,,,3140830,3140971,1,Herr,Felix Vogt,Fahrschule,,,,Kohlgrubenweg 3,,5436,0,Würenlos,N,nicht bestellt,Y,www.fahrschule-felixvogt.ch,nicht bestellt,1,Herr,,,Felix,Vogt,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Vogt,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
